#OTUID	CN18SKOA_ESP36_NN	CN18SKOA_ESP39_NN	CN18SKOA_ESP41_NN	CN18SKOA_ESP44_NN	CN18Sc14_8_eDNA_NN	CN18Sc15_8_eDNA_NN	CN18Sc18_8_eDNA_NN	CN18Sc27_8_eDNA_NN
ASV_2032	0	0	0	0	0	0	0	0
ASV_2035	0	0	0	0	0	0	0	0
ASV_2036	0	0	0	0	0	0	0	0
ASV_2037	0	0	0	0	0	0	0	0
ASV_2039	0	0	0	0	0	0	0	0
ASV_2040	0	0	0	0	0	0	0	0
ASV_2050	0	0	0	0	0	0	0	0
ASV_2056	0	0	0	0	0	0	0	0
ASV_2057	0	0	0	0	0	0	0	0
ASV_2058	0	0	0	0	0	0	0	0
ASV_2059	0	0	0	0	0	0	0	0
ASV_2061	0	0	0	0	0	0	0	0
ASV_2066	0	0	0	0	0	0	0	0
ASV_2067	0	0	0	0	0	0	0	0
ASV_2068	0	0	0	0	0	0	0	0
ASV_2069	0	0	0	0	0	0	0	0
ASV_2070	0	0	1	3	0	0	0	0
ASV_2072	0	0	0	0	0	0	0	0
ASV_2073	0	0	0	0	0	0	0	0
ASV_2075	0	0	0	0	0	0	0	0
ASV_2076	0	0	0	0	0	0	0	0
ASV_2078	0	0	0	0	0	0	0	0
ASV_2079	0	0	0	0	0	0	0	0
ASV_2080	1	0	1	3	0	0	3	0
ASV_2081	0	0	0	0	0	0	0	0
ASV_2082	0	0	0	0	0	0	0	0
ASV_2086	0	0	0	0	0	0	0	0
ASV_2087	0	0	0	0	0	0	0	0
ASV_2089	0	0	0	0	0	0	0	0
ASV_2090	0	0	0	0	0	0	0	0
ASV_2091	0	0	0	0	0	0	0	0
ASV_2093	0	0	0	0	0	0	0	0
ASV_2094	0	0	0	0	0	0	0	0
ASV_2096	0	0	0	0	0	0	0	0
ASV_2097	0	0	0	0	0	0	0	0
ASV_2098	0	0	0	0	0	0	0	0
ASV_2099	0	0	0	0	0	0	0	0
ASV_2108	0	0	0	0	0	0	0	0
ASV_2109	0	0	0	0	0	0	0	0
ASV_2110	0	0	0	0	0	0	0	0
ASV_2111	0	0	0	0	0	0	0	0
ASV_2112	0	0	0	0	0	0	0	0
ASV_2113	0	0	0	0	0	0	0	0
ASV_2114	0	0	0	0	0	0	0	0
ASV_2115	0	0	0	0	0	0	0	0
ASV_2116	0	0	0	0	0	0	0	0
ASV_2117	0	0	0	0	0	0	0	0
ASV_2118	0	0	0	0	0	0	0	0
ASV_2119	0	0	0	0	0	0	0	0
ASV_2122	0	0	0	0	0	0	0	0
ASV_2123	0	0	0	0	0	0	0	0
ASV_2124	0	0	0	0	0	0	0	0
ASV_2128	0	0	0	0	0	1	0	0
ASV_2129	0	0	0	0	0	0	0	0
ASV_2130	0	0	0	0	0	0	0	0
ASV_2138	0	0	0	0	0	0	0	0
ASV_2139	0	0	0	0	0	0	0	0
ASV_2140	0	0	0	0	0	0	0	0
ASV_2141	0	0	0	0	0	0	0	0
ASV_2144	0	0	0	0	0	0	0	0
ASV_2148	0	0	0	0	0	0	0	0
ASV_2151	0	0	0	0	0	0	0	0
ASV_2152	0	0	0	0	0	0	0	0
ASV_2153	0	0	0	0	0	0	0	0
ASV_2154	0	0	0	0	0	0	0	0
ASV_2155	0	0	0	0	0	0	0	0
ASV_2156	0	0	0	0	0	0	0	0
ASV_2157	0	0	0	0	0	0	0	0
ASV_2158	0	0	0	0	0	0	0	0
ASV_2159	0	0	0	0	0	0	0	0
ASV_2160	0	0	0	0	0	0	0	0
ASV_2161	0	0	0	0	0	0	0	0
ASV_2162	0	0	0	0	0	0	0	0
ASV_2169	0	0	0	0	0	0	0	0
ASV_2172	0	0	0	0	0	0	0	0
ASV_2175	0	0	0	0	0	0	0	0
ASV_2176	0	0	0	0	0	0	0	0
ASV_2179	0	0	0	0	0	0	0	0
ASV_2180	0	0	0	0	0	0	0	0
ASV_2183	0	0	0	0	0	0	0	0
ASV_2184	0	0	0	0	0	0	0	0
ASV_2185	0	0	0	0	0	0	0	0
ASV_2188	0	0	0	0	0	0	0	0
ASV_2192	0	0	0	0	0	0	0	0
ASV_2193	0	0	0	0	0	0	0	0
ASV_2196	0	0	0	0	0	0	0	0
ASV_2200	0	0	2	1	0	0	0	0
ASV_2204	0	0	0	0	0	0	0	0
ASV_2205	0	0	0	0	0	0	0	0
ASV_2206	0	0	0	0	0	0	0	0
ASV_2207	0	0	0	0	0	0	0	0
ASV_2208	0	0	0	0	0	0	0	0
ASV_2209	0	0	0	0	0	0	0	0
ASV_2219	0	0	0	0	0	0	0	0
ASV_2222	0	0	0	0	0	0	0	0
ASV_2224	0	0	0	0	0	0	0	0
