"ASV","20190226_EB","CN18FESPkoa_SC1","CN18FESPkoa_SC59","CN18S_koa3G_SC29","CN18S_koa3G_SC30","CN18S_koa3G_SC31","CN18S_koa3G_SC57","CN18S_koa3G_SC58","CN18S_koa3G_SC59","rowsum","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1263b941de1a0c2fb61d10f6b7e273da",0,0,0,0,8,37,0,0,0,45,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Flavobacteriaceae"," uncultured"," "
"b060079a052d8ef0971aa8faf2adb85c",0,0,6,0,13,6,14,0,6,45,"Bacteria"," Firmicutes"," Bacilli"," Staphylococcales"," Staphylococcaceae"," Staphylococcus"," "
"0759f29494789f29f8137e12266e3317",0,0,0,0,0,44,0,0,0,44,"Bacteria"," Cyanobacteria"," Cyanobacteriia"," Chloroplast"," Chloroplast"," Chloroplast"," "
"cf55f85ce18d02cb484e8ac73a876617",0,42,0,0,0,0,0,0,0,42,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Oceanospirillales"," Saccharospirillaceae"," Oleibacter"," "
"d6a87163db4f4ddfab6f8f63e29f7b02",0,0,0,26,16,0,0,0,0,42,"Bacteria"," Bdellovibrionota"," Bdellovibrionia"," Bacteriovoracales"," Bacteriovoracaceae"," Peredibacter"," "
"adfb67f460d65aa8614bed0880411c61",0,41,0,0,0,0,0,0,0,41,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales"," Rhodocyclaceae"," Ferribacterium"," "
"8328f3cd3067d3701f9809052475b73b",0,0,0,6,0,35,0,0,0,41,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Colwellia"," "
"08aac133c8cf588211af104b22d9d65d",0,38,0,0,0,0,0,0,0,38,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Cryomorphaceae"," uncultured"," "
"4cbfff144d4e7a4e0f4619ed505be070",0,37,0,0,0,0,0,0,0,37,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Enterobacterales"," Enterobacteriaceae"," Salmonella"," "
"36602542caa215eaa04c5068fe515205",0,0,0,0,17,19,0,0,0,36,"Bacteria"," Bacteroidota"," Bacteroidia"," Chitinophagales"," Saprospiraceae"," Lewinella"," "
"14068e1fc36759c2bef08bc0d925c873",0,36,0,0,0,0,0,0,0,36,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Vibrionales"," Vibrionaceae"," Vibrio"," Vibrio_sp."
"14816d1caa7ec1ca50502b3ec76789c6",0,6,0,0,5,25,0,0,0,36,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," "," "," "," "
"bf4cad5efdc02f2652b28b45910a712c",0,0,0,7,0,28,0,0,0,35,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Gammaproteobacteria_Incertae_Sedis"," Unknown_Family"," Marinicella"," "
"9285aa60b5dc6276cd7e61a87dc708b0",0,0,0,0,0,35,0,0,0,35,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Vibrionales"," Vibrionaceae"," Enterovibrio"," "
"61130f51b6bcbf8a0951ab51792f7f5b",0,0,0,0,0,34,0,0,0,34,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Colwellia"," "
"7b6b178fad5599c0e9a734e4fb09fd64",0,12,0,0,0,21,0,0,0,33,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Flavobacteriaceae"," NS5_marine_group"," uncultured_marine"
"065731dc70ca2e0ae56177f7be27e398",0,0,0,0,0,33,0,0,0,33,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Oceanospirillales"," Oleiphilaceae"," Oleiphilus"," "
"a6b69791ba02813e5eac13f3993fb72f",0,0,0,0,0,30,0,0,0,30,"Bacteria"," Cyanobacteria"," Cyanobacteriia"," Chloroplast"," Chloroplast"," Chloroplast"," uncultured_bacterium"
"72143fd9e63fe40c1258948d2f0d79c3",0,11,0,0,0,18,0,0,0,29,"Bacteria"," Proteobacteria"," Alphaproteobacteria"," SAR11_clade"," Clade_I"," Clade_Ia"," uncultured_bacterium"
"226ca6b52d7af139c06f232fd38e3569",0,0,0,0,16,13,0,0,0,29,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Crocinitomicaceae"," Fluviicola"," "
"eda779de9198f9be9317ecf6596927a1",0,28,0,0,0,0,0,0,0,28,"Bacteria"," Cyanobacteria"," Cyanobacteriia"," Chloroplast"," Chloroplast"," Chloroplast"," "
"8403a8dca999b687ba2bbe06f442d63d",0,28,0,0,0,0,0,0,0,28,"Bacteria"," Campilobacterota"," Campylobacteria"," Campylobacterales"," Arcobacteraceae"," uncultured"," "
"45aae5b06129baf3325f68a675e9c8e2",0,13,0,0,0,8,6,0,0,27,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Cellvibrionales"," Halieaceae"," OM60(NOR5)_clade"," uncultured_marine"
"a43803b6088c5e1130999686c435e649",0,0,0,0,0,0,0,0,27,27,"Bacteria"," Cyanobacteria"," Cyanobacteriia"," Chloroplast"," Chloroplast"," Chloroplast"," "
"5eadbce56d28cdb8221e10fe993752f9",0,0,0,0,0,27,0,0,0,27,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Flavobacteriaceae"," Psychroserpens"," "
"531e86b99634073a29cb5e8b90ffdb20",0,27,0,0,0,0,0,0,0,27,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Thalassotalea"," "
"33cafdb23caa43852d51b77b1c33f122",0,27,0,0,0,0,0,0,0,27,"Bacteria"," Bdellovibrionota"," Bdellovibrionia"," Bacteriovoracales"," Bacteriovoracaceae"," Peredibacter"," "
