"ASV","20180724_EB_AA","20180802_EB_AA","20180815_EB_AA","20180908_CB_HH","20180909_CB_HH","20180910_CB_HH","20181211_EB_CC","20181212_EB_CC","20181218_EB_CC","20190619_EB_HH","CN18FESPkoa_SC1_CC","CN18FESPkoa_SC59_CC","CN18S_koa3G_SC29_CC","CN18S_koa3G_SC30_CC","CN18S_koa3G_SC31_CC","CN18S_koa3G_SC57_CC","CN18S_koa3G_SC58_CC","CN18S_koa3G_SC59_CC","pcr_blank_1_CC","pcr_blank_2_CC","pcr_blank_3_CC","pcrblank_1_AA","pcrblank_1_HH","pcrblank_2_AA","pcrblank_2_HH","pcrblank_3_AA","pcrblank_3_HH","rowsum","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_4160",0,0,0,80,264,433,0,0,225,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,"Eukaryota","Chlorophyta","Ulvophyceae","Cladophorales","Cladophoraceae","Cladophora","unassigned"
"ASV_169",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1083,0,0,0,0,0,0,0,0,0,1084,"Eukaryota","Bacillariophyta","Fragilariophyceae","Fragilariales","Fragilariaceae","unassigned","unassigned"
"ASV_4197",0,0,0,192,323,438,0,0,123,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,"Eukaryota","Blastocladiomycota","Blastocladiomycetes","Blastocladiales","unassigned","unassigned","s_"
"ASV_538",0,0,0,1,0,499,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,1056,"no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_1266",107,0,29,167,480,18,0,0,142,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049,"Eukaryota","Porifera","Demospongiae","Spongillida","unassigned","unassigned","unassigned"
"ASV_4181",0,0,0,0,0,0,0,573,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049,"Eukaryota","Arthropoda","Insecta","Diptera","Psychodidae","Psychoda","s_"
"ASV_39",0,1,0,0,0,0,0,0,0,0,0,0,21,0,11,0,0,1007,0,0,0,0,0,0,0,0,1,1041,"Eukaryota","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","unassigned"
"ASV_9683",0,0,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,"Eukaryota","Streptophyta","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_16",0,0,0,0,1,955,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,"Eukaryota","unknown","unknown","unknown","unknown","unknown","Acantharian sp. 6201"
"ASV_174",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1029,0,0,0,0,0,0,0,0,0,0,0,0,1030,"Eukaryota","Bacillariophyta","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_32",0,0,0,570,0,158,0,0,0,186,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997,"Eukaryota","Arthropoda","Hexanauplia","Calanoida","unassigned","unassigned","unassigned"
"ASV_9699",0,0,0,0,0,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942,"Eukaryota","unknown","unknown","Choanoflagellata","Salpingoecidae","g_","s_"
"ASV_9700",0,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,"no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_9698",0,0,0,0,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"ASV_422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,930,"Eukaryota","unknown","Oomycetes","unassigned","unassigned","g_","s_"
"ASV_912",0,0,0,363,510,0,1,6,2,0,15,0,6,0,2,3,5,5,12,0,0,0,0,0,0,0,0,930,"Eukaryota","Dinoflagellata","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","Protoperidinium crassipes"
"ASV_4189",0,0,0,0,0,0,0,0,0,0,0,0,0,7,920,0,0,0,0,0,0,0,0,0,0,0,0,927,"no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_225",0,0,0,201,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,"Eukaryota","unknown","unknown","unknown","unknown","g_","s_"
"ASV_413",0,0,0,0,0,0,0,0,0,0,0,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,0,921,"Eukaryota","Cryptophyta","unknown","Pyrenomonadales","Geminigeraceae","g_","s_"
"ASV_4194",0,0,0,0,0,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,"no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_3284",0,0,0,0,0,0,0,0,0,0,781,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,882,"Eukaryota","Cercozoa","unknown","Cercomonadida","Cercomonadidae","Massisteria","s_"
"ASV_4200",0,0,0,0,0,0,0,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,"Eukaryota","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Hyphodontia","Hyphodontia taiwaniana"
"ASV_4849",0,0,0,425,432,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,"Eukaryota","Gastrotricha","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_9706",0,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,"no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","s_"
"ASV_9705",0,0,0,0,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"ASV_770",0,0,0,418,426,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,"Eukaryota","Ctenophora","Tentaculata","unassigned","unassigned","unassigned","unassigned"
