#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_46920	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_46938	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_46939	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_46940	Eukaryota	Oomycota	Oomycetes	Saprolegniales	Saprolegniaceae	g_	s_
ASV_46941	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_46942	Eukaryota	Cnidaria	Scyphozoa	Rhizostomeae	Catostylidae	g_	s_
ASV_46945	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_46969	Eukaryota	Ochrophyta	Dictyochophyceae	Pedinellales	unknown	g_	s_
ASV_46970	Eukaryota	unknown	Raphidophyceae	Chattonellales	Chattonellaceae	g_	s_
ASV_46971	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	g_	s_
ASV_46972	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_46973	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_46977	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
ASV_46985	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	g_	s_
ASV_47000	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47001	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_47002	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47003	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47004	Eukaryota	Cnidaria	Staurozoa	Stauromedusae	Kishinouyeidae	g_	s_
ASV_47005	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	s_
ASV_47006	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	g_	s_
ASV_47010	Eukaryota	Placozoa	unknown	unknown	unknown	g_	s_
ASV_47040	Eukaryota	Bacillariophyta	Mediophyceae	Anaulales	Anaulaceae	g_	s_
ASV_47041	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_47042	Eukaryota	Ochrophyta	Phaeophyceae	Fucales	Sargassaceae	g_	s_
ASV_47043	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47044	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47045	Eukaryota	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	g_	s_
ASV_47046	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_47047	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	g_	s_
ASV_47048	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	s_
ASV_47049	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	g_	s_
ASV_47050	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47051	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47052	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47053	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47054	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_47055	Eukaryota	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	g_	s_
ASV_47056	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_47077	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	g_	s_
ASV_47079	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47080	Eukaryota	Arthropoda	Insecta	Diptera	Ceratopogonidae	g_	s_
ASV_47081	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47082	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_47083	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Isochrysidaceae	g_	s_
ASV_47084	Eukaryota	Cnidaria	Hydrozoa	Narcomedusae	unknown	g_	s_
ASV_47085	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_47086	Eukaryota	Annelida	Polychaeta	Flabelligerida	Flabelligeridae	g_	s_
ASV_47089	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_47114	Eukaryota	Ochrophyta	Dictyochophyceae	Florenciellales	unknown	g_	s_
ASV_47115	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47116	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47117	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47118	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_47119	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Ectocarpaceae	g_	s_
ASV_47120	Eukaryota	Arthropoda	Insecta	Megaloptera	Corydalidae	g_	s_
ASV_47121	Eukaryota	Ochrophyta	Phaeophyceae	Fucales	Sargassaceae	g_	s_
