#OTUID	CN18Sc14_8_eDNA	CN18Sc15_8_eDNA	CN18Sc18_8_eDNA	CN18Sc27_8_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC39	CN18SESPkoa_SC41	CN18SESPkoa_SC44
08a51159519e07d5c29e6338cf533010	0	0	66	0	222	36	12	0
e1164a6e8df6820ebca7a620b3d77e36	0	0	0	0	0	0	0	0
9fa703f8c89ff4c7cee64381f4991871	0	0	15	4	42	0	0	0
0f7c3a07c1f906350c46496ae2b078f8	0	0	387	0	1367	154	36	0
e9528150163296033ee663ab51145f74	0	0	0	0	138	0	0	0
ff5a61445b5934a14903e4c8e17edcca	28	76	164	39	437	182	244	16
d3f4219fae8aed3e7773ea117546183a	0	0	0	0	0	0	0	0
12f83c66a8351950d2dd57715f1863fe	0	165	219	63	1342	294	407	47
365cf9e8424b84332cee898f37ee5885	0	0	0	0	64	0	0	0
3385a74dea527023428ed0d673791203	8	82	67	140	245	25	80	11
2b7ad807634c3b16ea3f2186b187a9ed	90	0	0	0	180	0	0	0
128e7e2aeb2d5da29d3d69a2644adfad	108	0	52	28	113	0	0	0
6444657c0f5e7317624f71dc68a429f0	0	0	0	0	0	0	0	0
9400842855da13619f7fb6ad51ca1a89	64	0	0	0	0	0	0	0
ba4cf1b625caee747f23d5687f063458	0	10	216	9	1514	274	13	0
63b98d69f205f4ee460f94a3a59b2615	110	0	32	16	148	0	0	0
012404fdadfbaf107b90c21b6011a121	0	276	122	228	246	72	163	0
137a91c0c7bdcc0e7fd8f6a8e93bea05	0	0	84	0	1345	621	124	38
5a8b8ceff5948380aa9dadf9bd73c79a	64	0	62	18	276	26	37	0
d4941110f42081beeca4c2291ff4584c	111	0	0	0	78	0	0	0
1b21d2b71f96b4a59b392aee9aa1d655	0	0	0	0	0	0	0	0
d5d18352c689ab006bc657b78bfd11e8	0	208	753	319	768	251	107	0
778f0eb2a8cfc6df11f04536adafa0aa	0	0	0	0	25	0	0	0
0ab2c16c7082d494ba4d3ad819ec4f7a	0	86	239	102	306	69	60	5
81f209c013aee5bbd465a3daa7870d9d	12	113	78	81	348	81	159	14
5245f0aa42e74d51abc527e44b558626	0	0	0	0	0	0	0	0
dcc14f1bf10dcbd01f7d22e12151f35f	74	0	0	0	74	0	0	0
1fd219ca91dfd4435b264ec1ef2629b2	0	243	93	56	1363	395	161	0
3a2d878641e0366fe8e73bf1bbe7e4a0	0	0	0	0	0	0	0	0
0417842be7e4d2399f989b6b70bdd4ad	39	0	12	20	32	0	0	0
1c9d4888cc82399ca530f0698dba4502	0	0	54	0	956	442	158	0
b632f1471fdbc48a83f80b09ee9ea027	0	22	691	142	1042	201	111	7
d2c8b01a80e3ba42172f994289023881	0	0	0	0	59	0	0	6
b8080a6750d18be86051ff5df944b8ab	0	0	4	0	0	0	0	0
2112378ee6acba3ae1d8f4b8c9303cfa	0	0	33	0	1664	375	82	15
9bd20c6dd9e216eb9c62ab933e134da3	0	332	88	351	378	0	341	0
851a7b0454e129e2f8160eb6b865d646	91	0	0	0	58	0	0	0
709bd24cec0e41d061a84438bba54571	73	0	0	0	0	0	0	0
9a993795a441e878fb92978ae1dcdd9a	0	0	0	0	0	0	0	0
96df01b333627ad0818f8a5c39a9c536	95	0	0	0	49	0	0	0
ceaafa0c87adb57b1d512e45c08e6115	16	0	47	42	386	47	93	0
1582f871a9f229cb4284d9f3d497a654	90	0	0	0	77	0	0	0
5c5e562a80a99f69066954262cb6ab12	0	0	0	0	0	0	0	0
d65d1938a20d694522f02cd034840031	0	344	83	250	231	27	287	23
9d3762a6dc0ae3c493956f21a01852d0	0	0	0	0	0	0	0	0
35b4930c8ef9b7fa7c378c7f69d1fa09	10	0	40	32	139	18	0	0
c0b44d4cf600b0adc542fc4660d93699	0	0	0	0	149	0	0	0
91a0133a75e2f7725d76a0e9905312e8	138	0	0	0	36	0	0	0
17ab7e2aa39f79013418ea5c7d88bd24	56	0	48	22	74	0	0	0
37bebcb1eaa7a778bc15307209ee6b6f	72	0	0	0	34	0	0	0
2b4d446cd6c3bea97852d320850b4993	82	0	0	0	230	0	0	0
0df0745aae328f5a350416a5038dee60	0	0	0	0	0	0	0	0
23bbd985f924307692599c33d32da0c8	0	0	0	0	17	0	0	0
f4fe94e3ed0df87afaf1df42f0b48d54	32	0	7	0	86	0	0	0
d698adf0a79eda87bed6c89930262e31	65	0	6	0	51	0	0	0
b252dc413f981b81b2a7c7d4183c3d2f	79	0	7	6	15	0	0	0
25cb4e6687aabc60469c82e6f69637a9	78	0	0	0	93	0	0	0
a3dac36e1ac9b781ed01542155741bf0	17	24	226	30	870	127	128	0
0fd225629b6786e1fc5521805bde53d0	0	0	0	0	0	0	0	0
7857d3187944415a804e443783213d31	0	22	207	83	644	149	191	19
b18b0e3d39306eb0d8668fd6719639f1	0	0	0	0	0	0	0	0
48be1a1ad818a6e9c1214782158aff7f	0	0	5	0	34	0	0	0
8884ba5a91f94c60f526b5c7d97dc91a	67	0	0	0	66	0	0	0
2b6dc9ebca1b08114b50b3cffad35478	74	0	16	11	41	0	0	0
66c6790748de5a903e8aa191670dead1	20	0	0	0	59	0	0	0
bfaf61f677b70276da2e37c16169649e	0	2	9	7	55	0	0	0
0f28227d6df0a3a2fdd378c70c4b3b78	46	0	0	0	11	0	0	0
62fbcf28c68ae4d16511f6e77a12b74e	0	0	23	0	128	0	0	0
6e08cf4e84fc70b2fecec04287959358	0	0	0	0	0	0	0	0
8334f78e44ab9a8d7e69cc979716710f	61	0	8	0	66	0	0	0
a464d4e4fc52e95ec48469613da0eb6e	55	0	23	0	50	0	0	0
e262595e2f6dcaaaf7a8cda9302a0272	0	0	0	0	0	0	0	0
84ef4736008c7aefe998f1831f814c21	0	0	0	0	9	0	0	0
fe037094f4e4d88606f217b5c3d1f59c	23	352	119	304	236	29	159	13
dfc0bb50086fd17c3830499a53fa5895	81	0	39	0	61	0	0	0
a136312a47004dbb6c437c5a677ce109	62	0	0	0	29	0	0	0
0fe2ed06c2109fcdb6e29b4c3a9df81e	0	0	0	0	16	0	0	0
15e68564d419aeb967715703aeb33143	40	0	17	0	49	0	0	0
de735618dfe6fac7a2661b26df096b02	76	0	0	0	0	0	0	0
320689dfab552be77ee83c5c5aadf05c	0	0	30	32	53	0	0	0
d9066528eb422ef4514fa47e5ab3b1f7	0	0	0	8	343	65	47	0
3e848010a1fafbdceb45e8531e296532	0	38	0	0	588	78	326	47
89e4b801c46c06154706c5bcbe846ce0	47	0	23	8	65	0	0	0
462c24ec0c43c5b682f2e95f8794475b	0	0	0	0	0	0	0	0
a290c363c3e4288f5486ebb4e4d9d204	7	45	105	35	477	99	131	14
71e411ff42fc776d0b502794751db9fd	0	108	134	42	1010	191	98	0
a246cbc8dd0a849197bfac14d11b3968	0	0	5	0	13	6	0	0
7c3584e171b22af5fa123b3bc28b2445	0	395	49	535	293	63	409	33
78f658da8deecfe67cbcf8c0d5f744a8	0	0	20	0	58	0	0	0
4a52357fda8f4e389148d0881e46d5d3	0	0	0	0	126	0	0	0
eeb07d56347f75ac21fafae6b282e632	23	0	28	14	50	0	0	0
a43803b6088c5e1130999686c435e649	0	90	23	0	1097	229	229	37
9380eac5ee2cf8d4a60f4b9f10bd5f16	0	0	171	0	752	126	0	0
00e9cd22941ea1d830c125de13c75535	30	0	51	23	180	0	18	0
