#OTUID	CN18SESPkoa_SC37_Y	CN18SESPkoa_SC40_Y	CN18SESPkoa_SC42_Y	CN18SESPkoa_SC45_Y	CN18SESPkoa_SC47_Y	CN18SESPkoa_SC49_Y	CN18Sc09_2_eDNA_Y	CN18Sc10_2_eDNA_Y	CN18Sc14_2_eDNA_Y	CN18Sc15_2_eDNA_Y	CN18Sc18_2_eDNA_Y	CN18Sc27_2_eDNA_Y
ASV_8402	1	8	25	12	0	28	4	36	50	1	2	0
ASV_8404	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8405	0	0	19	0	0	0	0	0	0	0	0	0
ASV_8406	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8407	0	2	1	0	0	0	3	2	0	0	0	0
ASV_8408	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8409	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8410	0	0	3	32	94	18	57	75	44	11	0	0
ASV_8412	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8416	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8418	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8420	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8422	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8423	0	0	0	0	0	0	0	0	0	72	0	0
ASV_8424	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8426	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8428	0	0	0	0	0	0	0	0	0	0	0	11
ASV_8430	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8431	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8432	0	0	1	0	0	0	0	4	0	0	0	0
ASV_8433	299	144	333	0	0	364	417	100	36	3	0	5
ASV_8434	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8437	0	0	0	0	0	0	0	0	0	2	0	0
ASV_8438	0	0	0	0	0	8	5	102	0	0	1	0
ASV_8440	0	0	0	0	0	0	0	8	0	0	0	0
ASV_8441	7	6	0	1	0	0	4	0	0	0	0	13
ASV_8442	4	0	18	3	0	0	24	0	3	13	4	0
ASV_8443	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8444	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8447	9	7	17	22	0	0	25	0	236	0	15	43
ASV_8461	83	22	196	31	63	22	41	49	17	47	62	3
ASV_8462	0	1	0	0	0	0	0	0	0	0	0	0
ASV_8463	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8465	681	327	411	579	876	553	851	811	534	266	197	548
ASV_8466	268	187	530	735	1121	217	131	136	32	41	99	103
ASV_8467	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8471	0	0	0	0	0	2	0	0	0	0	1	0
ASV_8472	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8474	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8475	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8478	4	2	10	6	0	31	5	27	5	0	14	12
ASV_8479	0	0	0	0	0	0	0	0	142	0	0	0
ASV_8480	13	9	3	49	5	47	20	10	35	36	27	2
ASV_8481	0	1	0	0	0	0	91	2	0	29	0	0
ASV_8482	43	44	5	94	8	42	19	34	5	0	22	11
ASV_8483	1110	616	611	946	2301	1209	1153	1478	1398	873	435	784
ASV_8484	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8485	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8486	14	49	49	24	47	69	35	80	194	0	43	87
ASV_8487	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8490	9	8	0	3	196	28	3	18	32	21	7	0
ASV_8491	19	47	20	254	331	17	127	60	82	65	44	135
ASV_8493	6	0	0	120	5	0	0	0	0	0	0	0
ASV_8494	7	0	19	1	6	8	2	10	0	4	13	0
ASV_8496	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8497	0	0	0	0	0	0	0	3	0	0	0	0
ASV_8498	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8499	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8502	9	17	15	9	34	13	7	18	26	0	13	2
ASV_8505	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8506	0	0	0	4	0	0	22	0	0	0	0	0
ASV_8507	37	12	18	27	30	31	9	14	14	4	3	0
ASV_8510	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8513	0	0	0	132	0	0	0	0	0	0	0	0
ASV_8516	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8518	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8520	0	0	0	0	0	0	0	0	1	0	0	0
ASV_8521	1	2	0	0	0	0	0	0	0	0	1	0
ASV_8522	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8523	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8524	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8525	2	4	5	4	2	3	6	10	5	2	4	0
ASV_8527	148	124	129	13	700	366	243	81	20	29	12	38
ASV_8528	226	150	164	164	149	108	219	178	218	176	89	68
ASV_8529	5	6	0	4	12	4	3	5	0	6	0	0
ASV_8532	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8533	0	0	0	0	0	0	0	0	0	29	0	0
ASV_8535	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8538	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8541	121	50	355	15	443	240	16	0	0	11	27	12
ASV_8543	13	0	195	7	0	26	122	35	41	5	15	14
ASV_8544	37	19	4	71	62	35	179	65	0	9	6	57
ASV_8545	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8547	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8548	701	252	487	393	459	879	410	479	461	397	232	36
ASV_8549	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8550	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8551	6	6	24	0	0	0	1	0	4	0	2	0
ASV_8552	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8553	0	1	0	0	0	0	0	0	0	0	0	0
ASV_8555	0	0	0	0	0	2315	0	0	0	0	0	0
ASV_8559	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8564	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8566	0	0	0	0	1	0	0	0	0	0	0	0
ASV_8569	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8570	253	63	87	143	561	78	23	97	134	117	41	323
ASV_8571	0	0	0	0	0	0	0	3	0	0	0	0
ASV_8574	0	0	0	0	0	0	0	0	0	8	0	1
ASV_8575	0	1	0	0	0	0	0	0	0	0	0	0
ASV_8576	6	65	2	55	14	37	2	4	80	0	19	0
ASV_8580	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8583	2	8	0	1	19	9	14	25	6	4	4	1
ASV_8584	152	31	235	196	109	135	199	224	119	147	33	51
ASV_8585	27	20	11	25	25	85	34	30	78	3	110	23
ASV_8586	0	0	0	4	3	0	0	4	0	0	0	0
ASV_8587	1	0	2	0	2	0	0	0	0	0	0	0
ASV_8588	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8589	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8591	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8592	0	3	0	17	1	51	0	0	45	15	67	68
ASV_8593	0	2	0	0	0	0	0	0	4	0	0	0
ASV_8600	361	254	209	205	673	181	362	175	681	58	448	383
ASV_8601	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8604	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8605	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8606	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8607	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8609	3	0	0	1	0	0	0	0	0	1	0	0
ASV_8611	8	0	6	1	6	4	23	1	16	18	0	0
ASV_8612	423	181	261	29	255	92	583	154	890	111	117	106
ASV_8615	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8616	67	14	0	0	0	0	63	35	24	3	369	28
ASV_8617	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8618	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8619	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8620	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8621	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8622	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8623	12	6	3	3	7	8	1	3	10	2	0	2
ASV_8625	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8628	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8629	2	1	9	2	4	1	7	10	0	5	6	0
ASV_8630	95	30	3	92	29	74	15	38	53	8	32	1
ASV_8631	15	1	126	40	0	7	0	0	5	0	1	0
ASV_8634	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8635	335	84	193	95	103	23	67	170	281	42	62	252
ASV_8639	0	0	0	0	1	1	0	0	16	0	0	0
ASV_8641	8	89	0	16	21	26	47	0	10	9	37	24
ASV_8644	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8645	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8647	2	0	14	4	10	0	3	2	1	8	6	0
ASV_8648	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8649	45	28	88	12	489	123	325	181	33	25	9	85
ASV_8652	2	0	0	0	5	0	0	0	2	0	0	0
