"","CANON_AKU1_22_X","CANON_AKU2_22_X","CANON_AKU3_22_X","CANON_AKU4_22_X","CANON_B10_22_X","CANON_B13_22_X","CANON_B17_22_X","CANON_B1_22_X","CANON_B20_22_X","CANON_B23_22_X","CANON_CBI10_22_X","CANON_CBI1_22_X","CANON_CBI4_22_X","CANON_CBI5_22_X","CANON_CBI8_22_X","CANON_CBI9_22_X"
"ASV_8467",98,8,4,131,92,372,165,72,0,39,105,19,134,275,148,119
"ASV_8471",0,1264,0,0,324,85,332,68,53,59,28,0,22,38,16,52
"ASV_8478",250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8480",81,6,87,18,0,13,356,222,1,0,10,6,3,12,112,365
"ASV_8481",495,0,22,129,0,23,0,38,0,0,50,0,14,9,5,95
"ASV_8482",0,0,21,5,0,5,0,0,0,0,0,0,0,0,0,0
"ASV_8483",755,0,11,76,0,155,0,0,0,0,39,0,40,45,0,2
"ASV_8484",2,0,13,5,0,0,52,11,0,0,3,0,1,1,37,67
"ASV_8485",0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0
"ASV_8486",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8488",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8490",0,0,51,29,0,0,41,12,0,0,0,0,0,1,0,63
"ASV_8491",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8493",0,0,5,0,0,0,17,6,0,0,5,155,6,2,25,7
"ASV_8494",32,1,56,22,1,21,147,144,1,0,0,311,0,6,39,354
"ASV_8497",2,0,0,5,0,0,29,0,0,3,0,0,0,0,5,36
"ASV_8499",0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,33
"ASV_8502",53,51,72,42,62,73,295,335,35,11,160,9,18,36,207,248
"ASV_8513",0,0,9,5,0,39,0,0,0,0,1,0,3,19,0,0
"ASV_8516",0,0,0,0,871,0,10,0,7,335,0,0,0,0,176,0
"ASV_8518",0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,100
"ASV_8520",4,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0
